id,text,first_name,last_name,title,time
38765,I would support a tax rate and a tax code that is fair to everyone.,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38766,Tax capital at the same right,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38767,Seventy percent?,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38768,that you  you tax ordinary income.,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38769,Take that corporate tax rate up to 28 percent.,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38770,You would generate the revenues,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38771,"OK, that's time.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38772,you need to pay for the programs we're talking about.,Beto,O'Rourke,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38773,That's time.,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38774,Thank you.,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38775,"Senator Booker, there is a debate in this party right now about the role of corporations, as you know.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38776,"Senator Warren in particular put out a plan to break up tech companies like Facebook, Amazon, and Google.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38777,"You've said we should not, quote, be running around pointing at companies and breaking them up without any kind of process.",Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38778,Why do you disagree?,Savannah,Guthrie,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38779,I don't think I disagree.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38780,I think we have a serious problem in our country with corporate consolidation.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38781,"And you see the evidence of that in how dignity is being stripped from labor, and we have people that work full-time jobs and still can't make a living wage.",Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38782,We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38783,And you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38784,One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38785,So I feel very strongly about the need to check the corporate consolidation and let the free market work.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38786,And I'll tell you this.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
38787,I live in a low-income black and brown community.,Cory,Booker,1st 2020 Democratic Party Primary Debate (A),"June 26, 2019, 9 p.m. ET"
